Party,Name,Constituency,ConstituencyVote,Constituency.,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8,ConstituencyPercent,LeavePercent,SecondVote1,SecondVote2,SecondVote3,SecondVote4,PartyGroup,BetterLeavePercent
Lab,Phil Wilson,Sedgefield,Leave,59,For,For,For,For,Abstain,Against,Against,Abstain,59,59,For,For,For,For,Lab,0.5894880672
Lab,Bill Esterson,Sefton Central,Remain,55,For,For,For,For,For,Against,Against,Against,55,45,For,For,For,For,Lab,0.4512582863
Con,Nigel Adams,Selby and Ainsty,Leave,58,Against,Against,Against,Against,Against,Abstain,For,Against,58,58,Against,Against,Against,Against,Con,0.5778823154
Con,Sir Michael Fallon,Sevenoaks,Leave,54,Against,Against,Against,Abstain,Against,Against,For,For,54,54,Against,Against,Against,Against,Con,0.538611222
Lab,Gill Furniss,Sheffield Brightside and Hillsb ,Leave,61,For,For,For,For,Abstain,Against,Against,Abstain,61,61,For,For,For,Abstain,Lab,0.6143934634
Lab,Paul Blomfield,Sheffield Central,Remain,70,For,For,For,For,For,Against,Against,Against,70,30,For,For,For,For,Lab,0.3040721727
Ind,Jared O'Mara,Sheffield Hallam,Remain,64,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,64,36,For,For,For,Abstain,Other,0.3590070068
Lab,Louise Haigh,Sheffield Heeley,Leave,58,For,For,For,For,For,Against,Against,Against,58,58,For,For,For,Abstain,Lab,0.5760591914
Lab,Clive Betts,Sheffield South East,Leave,66,For,For,For,For,For,Against,Against,Against,66,66,For,For,For,Abstain,Lab,0.6648992714
Con,Mark Spencer,Sherwood,Leave,64,Against,Against,Against,Against,Against,For,Abstain,Against,64,64,Against,Against,Against,Against,Con,0.6376245162
Con,Philip Davies,Shipley,Leave,52,Against,Against,Against,Against,Against,For,For,Against,52,52,Against,Against,Against,Against,Con,0.5221134452
Con,Daniel Kawczynski,Shrewsbury and Atcham,Leave,53,Against,Against,Against,Against,Against,For,Against,Against,53,53,Against,Against,Against,Against,Con,0.5301679598
Con,Gordon Henderson,Sittingbourne and Sheppey,Leave,66,Against,Against,Against,Against,Against,For,For,For,66,66,Against,Against,Against,Against,Con,0.6576125356
Con,Julian Smith,Skipton and Ripon,Leave,53,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,53,53,Abstain,Abstain,Abstain,Abstain,Con,0.5303345057
Con,Caroline Johnson,Sleaford and North Hykeham,Leave,62,Against,Against,Against,Against,Against,For,For,Against,62,62,Against,Against,Against,Against,Con,0.6153246901
Lab,Tanmanjeet Singh Dhesi,Slough,Leave,54,For,For,For,For,Abstain,Against,Against,Abstain,54,54,For,For,For,Abstain,Lab,0.5410037979
Con,Julian Knight,Solihull,Leave,53,Against,Against,Against,Against,Against,Abstain,For,For,53,53,Against,Against,Abstain,Against,Con,0.5334830853
Con,David Warburton,Somerton and Frome,Leave,51,Against,Against,Against,Against,Against,For,For,For,51,51,Against,Against,Against,Against,Con,0.5096199022
