"Party","PartyGroup","BetterLeavePercent","GroupedPercent","GroupedPercent2","ConstituencyVote","Vote1","Vote2","Vote3","Vote4","Vote5","Vote6","Vote7","Vote8","SecondVote1","SecondVote2","SecondVote3","SecondVote4","Name","Constituency"
"Lab","Lab",0.5548355511,"Third","Leave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Nia Griffith","Llanelli"
"Con","Con",0.4966913473,"Second","Remain","Remain","For","Against","Against","For","Against","Against","Against","For","For","Against","For","Against","Nicky Morgan","Loughborough"
"Con","Con",0.6942533714,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Victoria Atkins","Louth and Horncastle"
"Con","Con",0.5858418541,"Third","StrongLeave","Leave","Against","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Philip Dunne","Ludlow"
"Ind","Other",0.5821161422,"Third","Leave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Against","Against","Against","Against","Kelvin Hopkins","Luton North"
"TIG","Other",0.5544462729,"Third","Leave","Leave","Against","For","Against","Against","For","Against","Against","Against","Against","For","Against","For","Gavin Shuker","Luton South"
"Con","Con",0.4815713063,"Second","Remain","Remain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Against","Against","Against","Against","David Rutley","Macclesfield"
"Con","Con",0.4541335515,"Second","Remain","Remain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Theresa May","Maidenhead"
"Con","Con",0.5586830462,"Third","Leave","Leave","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Helen Grant","Maidstone and The Weald"
"Lab","Lab",0.6500090381,"Fourth","StrongLeave","Leave","For","Against","For","Abstain","Abstain","Against","Abstain","Abstain","For","Against","Against","Against","Yvonne Fovargue","Makerfield"
"Con","Con",0.6131394269,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","John Whittingdale","Maldon"
"Lab","Lab",0.3665873462,"First","Remain","Remain","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Lucy Powell","Manchester Central"
"Lab","Lab",0.3790481123,"First","Remain","Remain","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Afzal Khan","Manchester Gorton"
"Lab","Lab",0.2630734275,"First","Remain","Remain","For","For","For","For","For","Against","Against","Against","For","For","For","For","Jeff Smith","Manchester Withington"
